Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Salvador Giner - C. Museo,2,T,3,12,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3797483936090024, 39.479889353348874], ""type"": ""Point""}","39.479889353348874, -0.3797483936090024",Ciutat Vella
Hospital - Horno del Hospital,10,T,7,8,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38261041097634013, 39.470816323984536], ""type"": ""Point""}","39.470816323984536, -0.38261041097634013",Ciutat Vella
Calle Salvá - Calle Poeta Querol,12,T,1,19,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}","39.47196722343732, -0.3740102862977963",Ciutat Vella
Navarro Reverter - Grabador Esteve,28,T,9,20,29,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36775135880068294, 39.47158231958138], ""type"": ""Point""}","39.47158231958138, -0.36775135880068294",l'Eixample
Plaza de Tetuán,9,T,2,23,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}","39.47435533016869, -0.3699303648826442",Ciutat Vella
Salamanca - Conde Altea,31,T,5,14,19,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3650283531086902, 39.467365304622646], ""type"": ""Point""}","39.467365304622646, -0.3650283531086902",l'Eixample
Alameda - Pintor Maella,53,T,19,5,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.34813930400480075, 39.45676426141678], ""type"": ""Point""}","39.45676426141678, -0.34813930400480075",Camins al Grau
Francia - Pintor Maella,55,T,14,11,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.34868630411595647, 39.45934326975421], ""type"": ""Point""}","39.45934326975421, -0.34868630411595647",Camins al Grau
Baleares - Río Escalona,59,T,9,6,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}","39.463088285667624, -0.3545493213542055",Camins al Grau
Luis García Berlanga Martí - Menorca,52,T,7,18,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3463402980947426, 39.45603425797373], ""type"": ""Point""}","39.45603425797373, -0.3463402980947426",Camins al Grau
José María de Haro - Justo y Pastor,160,T,0,0,20,F,29/05/2023 20:55:12,"{""coordinates"": [-0.33898126470999496, 39.467336291769534], ""type"": ""Point""}","39.467336291769534, -0.33898126470999496",Algiros
Alfahuir - Peñiscola,128,T,16,9,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.367544345093534, 39.48876637693274], ""type"": ""Point""}","39.48876637693274, -0.367544345093534",Rascanya
Ángel Villena - Ausias March,187,T,13,2,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}","39.447960241518516, -0.3688183809361798",Quatre Carreres
Av. de la Plata - Zapadores,179,T,12,11,23,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36642636792637634, 39.45547226612543], ""type"": ""Point""}","39.45547226612543, -0.36642636792637634",Quatre Carreres
Llano de la Zaidía - Doctor Olóriz,153,T,5,19,24,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3805912745331588, 39.48305822805289], ""type"": ""Point""}","39.48305822805289, -0.3805912745331588",La Saidia
Esparraguera - Cra. Malilla,191,T,15,0,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.37886641388495107, 39.45032925434954], ""type"": ""Point""}","39.45032925434954, -0.37886641388495107",Quatre Carreres
Puerto Rico - Cuba,156,T,6,9,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3763453968184098, 39.46096428829767], ""type"": ""Point""}","39.46096428829767, -0.3763453968184098",l'Eixample
Convento Carmelitas - Alboraya,130,T,4,11,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.370210358642677, 39.483238360081586], ""type"": ""Point""}","39.483238360081586, -0.370210358642677",La Saidia
Pío XII - Monestir de Poblet,173,T,7,13,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.394678441209281, 39.484541375368174], ""type"": ""Point""}","39.484541375368174, -0.394678441209281",Campanar
