id;Empresa;objectid;zona;ubicacion;distrito;barrio;geo_shape;geo_point_2d
146;ASOCIACION EL RASTRELL;2365;1;C/ ALEXANDRE VI - C/ MATIES PERELLÓ;2;021;"{""coordinates"": [-0.3649615154789987, 39.46290868782036], ""type"": ""Point""}";39.46290868782036, -0.3649615154789987
150;ASOCIACION EL RASTRELL;2369;2;AV BLASCO IBÁÑEZ - PL LEGIÓ ESPANYOLA;6;061;"{""coordinates"": [-0.36567841252431127, 39.478838561926736], ""type"": ""Point""}";39.478838561926736, -0.36567841252431127
151;FUNDACION JOSÉ MARÍA HARO-INTRA;2370;2;AV CID - C/ CASA DE LA MISERICORDIA;7;075;"{""coordinates"": [-0.4100823279137232, 39.469515218258046], ""type"": ""Point""}";39.469515218258046, -0.4100823279137232
155;FUNDACION JOSÉ MARÍA HARO-INTRA;2374;1;C/ PIUS XI - C/ FONTANARS DELS ALFORINS;8;084;"{""coordinates"": [-0.3930553114945513, 39.45892036872132], ""type"": ""Point""}";39.45892036872132, -0.3930553114945513
156;FUNDACION JOSÉ MARÍA HARO-INTRA;2375;1;C/ JERONI MUNYOS - C/ URUGUAI;9;091;"{""coordinates"": [-0.38644682888344506, 39.45910871766305], ""type"": ""Point""}";39.45910871766305, -0.38644682888344506
157;FUNDACION JOSÉ MARÍA HARO-INTRA;2376;1;C/ COSTA I BORRÀS - C/ JERONIMA GALES (IMPRESSORA);9;092;"{""coordinates"": [-0.38927620032951815, 39.45483016837244], ""type"": ""Point""}";39.45483016837244, -0.38927620032951815
160;FUNDACION JOSÉ MARÍA HARO-INTRA;2379;1;CN PICANYA - C/ ARQUITECTE SEGURA DE LAGO;8;082;"{""coordinates"": [-0.4044133226445743, 39.45606226724349], ""type"": ""Point""}";39.45606226724349, -0.4044133226445743
164;FUNDACION JOSÉ MARÍA HARO-INTRA;2383;1;C/ POETA QUEROL - C/ SALVÀ;1;016;"{""coordinates"": [-0.3741229808803989, 39.471857889755576], ""type"": ""Point""}";39.471857889755576, -0.3741229808803989
166;FUNDACION JOSÉ MARÍA HARO-INTRA;2385;3;C/ ALCALDE REIG - PL MONTOLIVET;10;101;"{""coordinates"": [-0.3589136510688937, 39.45957371561998], ""type"": ""Point""}";39.45957371561998, -0.3589136510688937
167;FUNDACION JOSÉ MARÍA HARO-INTRA;2386;3;AV AUSIÀS MARCH - C/ PACO PIERRA;10;105;"{""coordinates"": [-0.36988228947442875, 39.44914557577047], ""type"": ""Point""}";39.44914557577047, -0.36988228947442875
