Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
33590;Avda. Francia;29/07/2020;Miercoles;29;7;2020;17.0;1.0;11.0;65.0;3.0
11596;Pista Silla;08/05/2012;Domingo;8;5;2012;42.0;4.0;18.0;41.0;
33595;Viveros;29/07/2020;Miercoles;29;7;2020;24.0;2.0;9.0;64.0;3.0
11597;Politecnico;08/05/2012;Domingo;8;5;2012;37.0;;;;0.0
11603;Pista Silla;08/06/2012;Lunes;8;6;2012;36.0;11.0;27.0;33.0;7.0
11612;Viveros;08/07/2012;Martes;8;7;2012;21.0;;;73.0;4.0
33601;Moli del Sol;30/07/2020;Jueves;30;7;2020;16.0;3.0;11.0;55.0;3.0
33603;Politecnico;30/07/2020;Jueves;30;7;2020;17.0;1.0;7.0;57.0;3.0
11614;Avda. Francia;08/08/2012;Miercoles;8;8;2012;11.0;8.0;10.0;64.0;4.0
11616;Moli del Sol;08/08/2012;Miercoles;8;8;2012;18.0;5.0;25.0;77.0;3.0
33608;Avda. Francia;31/07/2020;Viernes;31;7;2020;13.0;2.0;21.0;62.0;3.0
11618;Politecnico;08/08/2012;Miercoles;8;8;2012;18.0;3.0;12.0;;2.0
33620;Pista Silla;08/01/2020;Sabado;8;1;2020;21.0;5.0;19.0;;6.0
11621;Avda. Francia;08/09/2012;Jueves;8;9;2012;14.0;6.0;14.0;55.0;3.0
33621;Politecnico;08/01/2020;Sabado;8;1;2020;22.0;1.0;6.0;62.0;3.0
33622;Viveros;08/01/2020;Sabado;8;1;2020;;2.0;13.0;;3.0
11631;Pista Silla;08/10/2012;Viernes;8;10;2012;46.0;9.0;31.0;30.0;4.0
11635;Avda. Francia;08/11/2012;Sabado;8;11;2012;32.0;6.0;10.0;49.0;4.0
11637;Moli del Sol;08/11/2012;Sabado;8;11;2012;67.0;5.0;16.0;53.0;1.0
11638;Pista Silla;08/11/2012;Sabado;8;11;2012;62.0;6.0;23.0;37.0;4.0
11639;Politecnico;08/11/2012;Sabado;8;11;2012;42.0;1.0;14.0;61.0;1.0
33637;Moli del Sol;08/03/2020;Lunes;8;3;2020;8.0;2.0;7.0;47.0;3.0
33639;Politecnico;08/03/2020;Lunes;8;3;2020;12.0;1.0;6.0;46.0;3.0
11642;Avda. Francia;08/12/2012;Domingo;8;12;2012;25.0;5.0;9.0;54.0;6.0
33640;Viveros;08/03/2020;Lunes;8;3;2020;;2.0;8.0;;3.0
11646;Politecnico;08/12/2012;Domingo;8;12;2012;39.0;1.0;10.0;80.0;0.0
11651;Moli del Sol;13/08/2012;Lunes;13;8;2012;33.0;8.0;17.0;81.0;2.0
33655;Moli del Sol;08/05/2020;Miercoles;8;5;2020;7.0;3.0;7.0;51.0;3.0
33657;Politecnico;08/05/2020;Miercoles;8;5;2020;15.0;2.0;7.0;51.0;3.0
11661;Viveros;14/08/2012;Martes;14;8;2012;;2.0;15.0;53.0;4.0
33658;Viveros;08/05/2020;Miercoles;8;5;2020;;3.0;10.0;56.0;3.0
11665;Moli del Sol;15/08/2012;Miercoles;15;8;2012;26.0;17.0;7.0;70.0;2.0
11667;Politecnico;15/08/2012;Miercoles;15;8;2012;33.0;2.0;13.0;78.0;2.0
