Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
04-CENTRO EDUCATIVO;SERVICIO EDUCACION FISICA â¿¿ UNIVERSIDAD VALENCIA;C/. ALBALAT DELS TARONGERS, S/N;13;135;1;399;;;;ED31;"{""coordinates"": [-0.34012438914318743, 39.47657524502155], ""type"": ""Point""}";39.47657524502155, -0.34012438914318743
08-VARIOS;COCEMFE Federacion asociaciones personas discapacidad fisica y organica de provincia Valencia;C/. TORRES, 12;7;071;1;405;;;;VA04;"{""coordinates"": [-0.399022099861764, 39.47328334584735], ""type"": ""Point""}";39.47328334584735, -0.399022099861764
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""PADRE JOFRE""";C/. ESCULTOR VICENTE RODILLA, 3;8;081;1;407;;;;MA08;"{""coordinates"": [-0.3906414707395037, 39.457954891621014], ""type"": ""Point""}";39.457954891621014, -0.3906414707395037
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""CASTELLAR-OLIVERAL""";C/. POETESSA LEONOR PERALES, 1;19;192;1;408;;;;MA15;"{""coordinates"": [-0.36312171979591645, 39.42835498603412], ""type"": ""Point""}";39.42835498603412, -0.36312171979591645
00-DEPENDENCIAS MUNICIPALES;ESCUELA MUNICIPAL DE PELOTA VALENCIANA;CAMI. BORBOTÃ¿ A MASSARROJOS;17;177;1;413;;;;DM11;"{""coordinates"": [-0.389861242032982, 39.51868046067874], ""type"": ""Point""}";39.51868046067874, -0.389861242032982
04-CENTRO EDUCATIVO;COLEGIO PUREZA DE MARIA;AV. CID, 142;7;072;1;416;;;;ED13;"{""coordinates"": [-0.4091831441989463, 39.470237996285604], ""type"": ""Point""}";39.470237996285604, -0.4091831441989463
04-CENTRO EDUCATIVO;COLEGIO SAGRADA FAMILIA;C/. POETA RICARD SANMARTN, 3;14;142;1;421;;;;ED34;"{""coordinates"": [-0.35725047252103237, 39.490099901238764], ""type"": ""Point""}";39.490099901238764, -0.35725047252103237
04-CENTRO EDUCATIVO;COLEGIO PUBLICO TORREFIEL;C/. ERUDIT PAGOS, 1;15;152;1;426;;;;ED35;"{""coordinates"": [-0.37789600699328124, 39.49540285538006], ""type"": ""Point""}";39.49540285538006, -0.37789600699328124
04-CENTRO EDUCATIVO;COLEGIO SAN PEDRO PASCUAL;C/. MESTRE GUERRERO, 3;3;033;1;428;;;;ED12;"{""coordinates"": [-0.3925867553006613, 39.47336770528562], ""type"": ""Point""}";39.47336770528562, -0.3925867553006613
00-DEPENDENCIAS MUNICIPALES;BIBLIOTECA P. MARIA MOLINER;C/. SERPIS, 9-11;13;134;1;430;;;;DM09;"{""coordinates"": [-0.34910598595241155, 39.47624821091358], ""type"": ""Point""}";39.47624821091358, -0.34910598595241155
04-CENTRO EDUCATIVO;COLEGIO ALEMAN;C/. JAUME ROIG, 14;6;063;1;434;;;;ED23;"{""coordinates"": [-0.36344958417806755, 39.48194084205453], ""type"": ""Point""}";39.48194084205453, -0.36344958417806755
04-CENTRO EDUCATIVO;CEI LA ANUNCIACION;C/. CONSERVA, 2;12;121;1;437;;;;ED25;"{""coordinates"": [-0.3449768654224386, 39.464218200391414], ""type"": ""Point""}";39.464218200391414, -0.3449768654224386
01-MERCADO;MERCADO ROJAS CLEMENTE;C/. BOTÃ¿NIC;3;031;1;441;;;;ME03;"{""coordinates"": [-0.3852585188864441, 39.47299307196004], ""type"": ""Point""}";39.47299307196004, -0.3852585188864441
04-CENTRO EDUCATIVO;CEIP MIGUEL HERNANDEZ;C/. ESTEVE DOLZ DEL CASTELLAR, S/N;15;153;1;443;;;;ED37;"{""coordinates"": [-0.36698488234801613, 39.49454131696856], ""type"": ""Point""}";39.49454131696856, -0.36698488234801613
07-ALCALDIA DE BARRIO;PEDANIA CASAS DE BARCENA;CAMI. CASES DE BÃ¿RCENA,108;17;174;1;445;;;;AB09;"{""coordinates"": [-0.3565610774584699, 39.52326005645103], ""type"": ""Point""}";39.52326005645103, -0.3565610774584699
